Address;Bird;Time;Amount;Winner username;Private offer bird
0x1a2a2d0f5d20209d159cbc24fe45b90c5357a241;BitBird 144;2021-03-11T03:47:48;0.05;HOF;BitBird 1387
0x42f04c45e96be43e6069f84a713e31fff694c8a2;BitBird 272;2021-03-11T04:23:28;0.05;dvn;BitBird 1386
0x00704c43441edc843ce72077cc5756ea7fdc2bf0;BitBird 184;2021-03-11T04:23:31;0.05;hornokplease;BitBird 1385
0x453510d0d18d0a0ae95b5c98f7695226cd97df95;BitBird 552;2021-03-11T05:34:10;0.05;Jumper11;BitBird 1384
0xde270dd37103351cd45610539648ff9d0b32bb50;BitBird 643;2021-03-11T07:16:20;0.05;jw;BitBird 1382
0x7d7ea735b7287d844c3a9312bc1114c6131781d0;BitBird 218;2021-03-11T13:33:03;0.05;AnonymousPenguin;BitBird 1381
0x755bf4014d228dfeccb3c39db5f51a85c5bb69a2;BitBird 157;2021-03-11T14:37:25;0.05;nan;BitBird 1380
0x5cd16d76f4394a8a06c4322d76de0409323831b5;BitBird 543;2021-03-11T14:44:52;0.05;RH2727;BitBird 1379
0xde89db35d4aaa281904faccf48033a66003ea50d;BitBird 70;2021-03-11T18:28:17;0.05;KingTut29;BitBird 1378
0xdf5edabd1530e79fc48e356dd62295b2a3c35e40;BitBird 429;2021-03-11T18:39:23;0.05;jawilla;BitBird 1377
0x0e63d7e489363028e23a6da417d5767f9e399246;BitBird 27;2021-03-11T19:21:48;0.05;Gluckworks;BitBird 1376
0xfe35e15be885750d9b2363cbb6abdd57ac9c4c40;BitBird 18;2021-03-11T19:34:21;0.05;gtmcknight;BitBird 1375
0x3d932418d984d94e09d48b2acc863d200ec763ef;BitBird 527;2021-03-11T20:05:03;0.05;scsuhockey10;BitBird 1374
0xda4d6c8cf48e7c473ef7bb3ace63a5b586598b56;BitBird 188;2021-03-11T20:16:10;0.1;DiamondDanny;BitBird 1373
0x1dabc3b1e6e6878fea60f9d9799b1cfdbb9d6aef;BitBird 339;2021-03-11T20:28:43;0.05;RareBehavior;BitBird 1372
0x09c34af24759281d4a078bc57c504e96eb912427;BitBird 342;2021-03-11T20:45:15;0.05;RebelSpy;BitBird 1371
0x3db5f43c538a680280f3e699fc7340008f327ff2;BitBird 14;2021-03-11T20:50:11;0.05;-_-_-_-_-_-;BitBird 1370
0xe9581fb58eb6fdcbd45fcba793149bab6b0e0c4b;BitBird 279;2021-03-11T21:17:28;0.05;Lefko;BitBird 1369
0x63502d4e47b83f8966c687ccdb0f7c56faf691d5;BitBird 642;2021-03-11T21:46:31;0.05;NFTMainer;BitBird 1368
0x6096477b065755a0c6522652458b19073c40f296;BitBird 415;2021-03-11T23:36:02;0.05;NFTfrank;BitBird 1367
